PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
223,0,0,0,2,2.75,2.5,2.5,4.1,4.5,0.31,4.6,4,-0.56,4.1,4,-0.09,3.5,3,-0.48
692,1,0,0,2,2.5,2.5,2.75,4.4,4.9,0.45,4.8,6,0.7,4.3,6,1.2,3.8,2.3,-1.49
426,0,1,0,2,2.75,2.25,3.5,4.9,4.2,-0.78,5.3,4,-1.26,4.8,7,2.15,4.5,2.7,-1.85
578,1,0,0,2,2.5,1.75,2.5,3.5,5.8,2.29,4,6,1.51,3.5,6,2.01,2.6,5,2.36
354,0,0,0,2,3.25,2.75,2.75,4.7,6.9,2.2,5,7,1.99,4.6,7,2.43,4.2,6,1.85
543,0,0,1,3,3.5,3.25,3.25,6.5,5.8,-0.69,6.5,7,0.48,6.7,6,-1.2,6.4,4.5,-1.89
711,1,0,0,2,2.75,2.75,2.5,4.1,4.4,0.21,4.6,6,0.94,4.1,3,-1.09,3.5,3.3,-0.15
14,1,0,1,1,1.25,1.75,1.5,2.4,2.3,-0.09,2.9,2,-0.93,2.2,3,0.8,1.3,0,-1.27
561,0,0,0,1,2.5,1.75,1.25,2.4,2.8,0.38,2.9,3,0.07,2.2,3,0.8,1.3,0.7,-0.61
194,0,0,0,2,2.25,2.5,2.5,3.7,2.5,-1.26,4.2,2,-2.16,3.7,4,0.32,2.9,0.7,-2.25
84,1,1,0,2,1.75,2.25,2.25,2.9,3,0.02,3.5,4,0.54,2.9,4,1.13,1.9,0,-1.91
623,1,0,0,2,2.5,2.25,1.75,2.9,3.5,0.52,3.5,2,-1.46,2.9,4,1.13,1.9,2.5,0.59
811,1,0,0,1,2.5,1.75,1.75,2.9,4.1,1.17,3.5,4,0.54,2.9,4,1.13,1.9,2.3,0.43
697,1,0,1,2,2.75,2.25,2.5,3.7,3.6,-0.16,4.2,4,-0.16,3.7,4,0.32,2.9,2,-0.91
637,0,0,0,3,2.75,2.25,3.5,5.5,3.8,-1.76,5.7,3,-2.73,5.5,6,-0.02,5.2,2.7,-2.55
561,0,0,0,1,1.75,1.25,1.25,2,1.8,-0.22,2.6,2,-0.61,1.8,2,0.24,1,0,-0.97
748,1,0,0,2,3.25,2.75,2.25,3.9,3.2,-0.72,4.3,3,-1.31,3.8,3,-0.81,3.1,1,-2.11
334,0,0,0,3,3.5,3.5,3.5,7.3,4.9,-2.42,7.2,7,-0.21,7.5,3,-4.51,7.3,3,-4.27
534,0,0,0,2,2.25,2.75,1.5,3.1,3.6,0.41,3.6,4,0.36,3.1,4,0.87,2.2,2,-0.18
105,0,0,0,3,3.25,3.25,3.5,6.5,4.7,-1.79,6.5,4,-2.52,6.7,6,-1.2,6.4,2.3,-4.05
295,1,0,0,3,3.25,1.75,3.75,5.1,5.7,0.61,5.4,6,0.13,5,8,3.46,4.7,3.7,-1.03
824,1,0,0,1,1.5,1.5,1.5,2.2,2.2,-0.04,2.8,2,-0.82,2,3,0.98,1.2,0,-1.16
4,0,0,0,2,3.5,3.25,2.5,5.1,4.5,-0.64,5.4,7,1.63,5,4,-1.04,4.7,2,-2.7
287,0,0,0,2,2.25,2.25,2.5,3.5,3.2,-0.31,4,6,1.51,3.5,3,-0.49,2.6,0,-2.64
259,1,0,0,2,2.75,2.75,2.5,4.1,3,-1.19,4.6,4,-0.56,4.1,4,-0.09,3.5,0.5,-2.98
595,0,0,1,1,2.25,1.5,1.75,2.5,3,0.48,3.1,2,-1.11,2.4,4,1.6,1.4,1,-0.45
812,0,0,0,1,1.25,1.5,1.75,2.4,1.9,-0.47,2.9,2,-0.93,2.2,2,-0.2,1.3,0,-1.27
183,0,0,0,1,2.5,2.25,1.5,2.8,3.4,0.56,3.4,4,0.63,2.8,2,-0.76,1.8,2,0.24
811,0,0,0,2,3.25,2.25,2.75,4.4,4,-0.4,4.8,6,0.7,4.3,4,-0.3,3.8,2,-1.83
145,1,0,0,2,3.25,1.5,3.25,4.9,2.4,-2.53,5.3,3,-2.26,4.8,3,-1.85,4.5,1,-3.51
594,0,0,1,2,2.25,1.25,2.5,3.1,4.2,1.06,3.6,4,0.36,3.1,6,2.37,2.2,2.7,0.49
